id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
houset599230b08a46554edf8846651,http://www.housetrip.es/buscar-alojamientos/a/1-6894015,1.83592,41.23866,2018-03-31 18:06:21.313000,2018-04-15 02:45:16.612000,houset6894015,Casa,,9,2,,300
houset599230b08a46554edf8846652,http://www.housetrip.es/buscar-alojamientos/a/1-9351815,1.83279,41.23934,2018-03-31 18:06:21.314000,2018-04-15 02:21:19.887000,houset9351815,Villa,,8,,,1018
houset599230b08a46554edf8846653,http://www.housetrip.es/buscar-alojamientos/a/1-1400508,1.82871,41.251,2017-11-30 18:02:26.054000,2017-12-07 01:33:59.652000,houset1400508,Villa,,14,1,,300
houset599230b08a46554edf8846654,http://www.housetrip.es/buscar-alojamientos/a/1-6379786,1.82733,41.25045,2017-11-30 18:02:26.054000,2017-12-07 01:33:54.752000,houset6379786,Villa,,9,1,,300
houset599230b08a46554edf8846656,http://www.housetrip.es/buscar-alojamientos/a/1-3819540,1.82844,41.24192,2017-11-30 18:01:47.325000,2017-12-07 00:57:42.320000,houset3819540,Villa,,16,12,,250
houset599230b08a46554edf8846657,http://www.housetrip.es/buscar-alojamientos/a/1-8448629,1.82727,41.24282,2017-11-30 18:01:47.326000,2017-12-07 01:04:23.214000,houset8448629,Casa,,14,1,3,285
houset599230b08a46554edf8846658,http://www.housetrip.es/buscar-alojamientos/a/1-1400501,1.82211,41.24166,2017-11-30 18:01:47.326000,2017-12-07 00:59:28.554000,houset1400501,Villa,,12,1,,236
houset599230b08a46554edf8846659,http://www.housetrip.es/buscar-alojamientos/a/1-1400510,1.82486,41.24171,2017-11-30 18:01:47.326000,2017-12-07 00:59:25.943000,houset1400510,Villa,,12,2,7,422
houset599230b08a46554edf88466510,http://www.housetrip.es/buscar-alojamientos/a/1-7482697,1.82624,41.24259,2017-11-30 18:01:47.326000,2017-12-07 01:04:18.715000,houset7482697,Villa,,9,,,520
houset599230b08a46554edf88466511,http://www.housetrip.es/buscar-alojamientos/a/1-9083708,1.82624,41.24259,2017-11-30 18:01:47.326000,2017-12-07 01:02:07.166000,houset9083708,Apartamento,,4,,,85
houset599230b08a46554edf88466512,http://www.housetrip.es/buscar-alojamientos/a/1-9274800,1.82688,41.24034,2018-03-31 18:06:21.314000,2018-04-15 02:21:06.461000,houset9274800,Villa,,5,,,217
houset599230b08a46554edf88466513,http://www.housetrip.es/buscar-alojamientos/a/1-9347308,1.82688,41.24034,2018-03-31 18:06:21.314000,2018-04-15 02:22:09.960000,houset9347308,Apartamento,,5,,,248
houset599230b08a46554edf88466514,http://www.housetrip.es/buscar-alojamientos/a/1-1662925,1.82483,41.23937,2017-11-30 18:01:42.931000,2018-04-15 02:45:11.953000,houset1662925,Casa,,8,1,,150
houset599230b08a46554edf88466515,http://www.housetrip.es/buscar-alojamientos/a/1-7326452,1.82421,41.24012,2017-11-30 18:01:42.931000,2018-04-15 00:31:12.563000,houset7326452,Casa,,9,,,225
houset599230b08a46554edf88466516,http://www.housetrip.es/buscar-alojamientos/a/1-222246,1.82258,41.23774,2018-03-31 18:06:21.314000,2018-04-15 02:46:54.177000,houset222246,Villa,,12,3,,570
houset599230b08a46554edf88466517,http://www.housetrip.es/buscar-alojamientos/a/1-9381054,1.82299,41.23739,2018-03-31 18:06:21.313000,2018-04-15 02:45:20.919000,houset9381054,Estudio,,2,,,115
houset599230b08a46554edf88466518,http://www.housetrip.es/buscar-alojamientos/a/1-7326475,1.8226,41.23693,2017-11-30 18:01:42.931000,2018-04-15 00:01:20.825000,houset7326475,Apartamento,,4,1,,65
houset599230b08a46554edf88466519,http://www.housetrip.es/buscar-alojamientos/a/1-4628445,1.82445,41.23747,2017-11-30 18:01:42.931000,2018-04-14 23:45:04.864000,houset4628445,Apartamento,,4,,,78
houset599230b08a46554edf88466520,http://www.housetrip.es/buscar-alojamientos/a/1-2321826,1.82451,41.23699,2018-03-31 18:06:21.314000,2018-04-15 02:20:17.673000,houset2321826,Apartamento,,6,1,,113
houset599230b08a46554edf88466521,http://www.housetrip.es/buscar-alojamientos/a/1-8698634,1.82451,41.23699,2018-03-31 18:06:21.314000,2018-04-15 02:20:22.052000,houset8698634,Apartamento,,5,,,108
houset599230b08a46554edf88466522,http://www.housetrip.es/buscar-alojamientos/a/1-7326489,1.82554,41.23663,2017-11-30 18:01:42.931000,2018-04-14 23:45:52.887000,houset7326489,Apartamento,,3,,,75
houset599230b08a46554edf88466523,http://www.housetrip.es/buscar-alojamientos/a/1-7463124,1.8256,41.23664,2018-03-31 18:06:21.313000,2018-04-15 02:44:32.982000,houset7463124,Apartamento,,3,,,75
houset599230b08a46554edf88466524,http://www.housetrip.es/buscar-alojamientos/a/1-7176381,1.8264,41.23757,2018-03-31 18:06:21.313000,2018-04-15 02:45:56.419000,houset7176381,Apartamento,,4,,,86
houset599230b08a46554edf88466525,http://www.housetrip.es/buscar-alojamientos/a/1-374278,1.82721,41.23659,2017-11-30 18:01:42.931000,2018-04-15 02:21:17.692000,houset374278,Apartamento,,6,1,,117
houset599230b08a46554edf88466526,http://www.housetrip.es/buscar-alojamientos/a/1-8613280,1.82756,41.23644,2017-11-30 18:01:42.931000,2018-04-15 02:22:07.767000,houset8613280,Apartamento,,6,,,122
houset599230b08a46554edf88466527,http://www.housetrip.es/buscar-alojamientos/a/1-7358677,1.82706,41.23682,2017-11-30 18:01:42.931000,2018-04-15 02:21:22.071000,houset7358677,Apartamento,,6,2,,149
houset599230b08a46554edf88466528,http://www.housetrip.es/buscar-alojamientos/a/1-9248577,1.82803,41.24048,2018-03-31 18:06:21.314000,2018-04-15 02:20:39.571000,houset9248577,Apartamento,,7,,,287
houset599230b08a46554edf88466529,http://www.housetrip.es/buscar-alojamientos/a/1-9203445,1.82803,41.24048,2018-03-31 18:06:21.314000,2018-04-15 00:16:08.578000,houset9203445,Villa,,7,,,248
houset599230b08a46554edf88466530,http://www.housetrip.es/buscar-alojamientos/a/1-8773582,1.83039,41.23641,2018-03-31 18:06:21.314000,2018-04-15 02:46:47.655000,houset8773582,Apartamento,,4,,,100
houset599230b08a46554edf88466531,http://www.housetrip.es/buscar-alojamientos/a/1-5334931,1.82665,41.23373,2018-03-31 18:06:21.313000,2018-04-15 02:45:29.533000,houset5334931,Yate,,8,2,3,360
houset599230b08a46554edf88466532,http://www.housetrip.es/buscar-alojamientos/a/1-7326409,1.82496,41.23491,2017-11-30 18:01:42.932000,2018-04-15 02:43:31.163000,houset7326409,Apartamento,,4,2,,85
houset599230b08a46554edf88466533,http://www.housetrip.es/buscar-alojamientos/a/1-4747820,1.82512,41.23497,2017-11-30 18:01:42.931000,2018-04-15 02:44:09.079000,houset4747820,Apartamento,,7,11,,85
houset599230b08a46554edf88466534,http://www.housetrip.es/buscar-alojamientos/a/1-6638357,1.8253,41.23493,2018-03-31 18:06:21.314000,2018-04-15 02:21:24.210000,houset6638357,Apartamento,,5,2,,78
houset599230b08a46554edf88466535,http://www.housetrip.es/buscar-alojamientos/a/1-6638387,1.82532,41.23509,2018-03-31 18:06:21.313000,2018-04-15 02:44:06.837000,houset6638387,Apartamento,,4,,,60
houset599230b08a46554edf88466536,http://www.housetrip.es/buscar-alojamientos/a/1-9382646,1.82493,41.23521,2018-03-31 18:06:21.314000,2018-04-15 02:46:32.431000,houset9382646,Apartamento,,3,,,60
houset599230b08a46554edf88466537,http://www.housetrip.es/buscar-alojamientos/a/1-7305113,1.82491,41.23514,2017-11-30 18:01:42.931000,2017-12-07 00:41:48.323000,houset7305113,Apartamento,,4,,,80
houset599230b08a46554edf88466538,http://www.housetrip.es/buscar-alojamientos/a/1-2889399,1.82301,41.23484,2017-11-30 18:01:42.931000,2018-04-15 02:45:38.269000,houset2889399,Apartamento,,6,,,122
houset599230b08a46554edf88466539,http://www.housetrip.es/buscar-alojamientos/a/1-9373294,1.82224,41.23466,2018-03-31 18:06:21.314000,2018-04-15 02:21:54.077000,houset9373294,Apartamento,,5,,,77
houset599230b08a46554edf88466540,http://www.housetrip.es/buscar-alojamientos/a/1-6864893,1.82228,41.23537,2018-03-31 18:06:21.313000,2018-04-15 02:43:46.630000,houset6864893,Apartamento,,8,,,100
houset599230b08a46554edf88466541,http://www.housetrip.es/buscar-alojamientos/a/1-9202294,1.82306,41.23532,2018-03-31 18:06:21.314000,2018-04-15 02:21:08.707000,houset9202294,Apartamento,,8,,,390
houset599230b08a46554edf88466542,http://www.housetrip.es/buscar-alojamientos/a/1-9245429,1.82306,41.23532,2018-03-31 18:06:21.314000,2018-04-15 00:45:24.442000,houset9245429,Apartamento,,8,,,447
houset599230b08a46554edf88466543,http://www.housetrip.es/buscar-alojamientos/a/1-464557,1.82175,41.23564,2017-11-30 18:01:42.931000,2018-04-15 02:44:11.232000,houset464557,Apartamento,,5,10,,89
houset599230b08a46554edf88466544,http://www.housetrip.es/buscar-alojamientos/a/1-6864874,1.8217,41.23548,2018-03-31 18:06:21.313000,2018-04-15 02:45:23.116000,houset6864874,Apartamento,,8,,,214
houset599230b08a46554edf88466545,http://www.housetrip.es/buscar-alojamientos/a/1-7518161,1.82178,41.23553,2017-11-30 18:01:42.932000,2018-04-15 02:43:57.449000,houset7518161,Apartamento,,7,,,140
houset599230b08a46554edf88466546,http://www.housetrip.es/buscar-alojamientos/a/1-5758382,1.81522,41.23646,2017-11-30 18:01:42.932000,2018-04-15 02:43:53.152000,houset5758382,Apartamento,,5,1,,70
houset599230b08a46554edf88466547,http://www.housetrip.es/buscar-alojamientos/a/1-6996156,1.81412,41.23599,2018-03-31 18:06:21.313000,2018-04-15 02:44:15.686000,houset6996156,Apartamento,,2,1,,85
houset599230b08a46554edf88466548,http://www.housetrip.es/buscar-alojamientos/a/1-8851338,1.81234,41.23543,2017-11-30 18:01:42.932000,2018-04-15 02:46:26.039000,houset8851338,Apartamento,,4,,,119
houset599230b08a46554edf88466549,http://www.housetrip.es/buscar-alojamientos/a/1-8851341,1.81234,41.23543,2017-11-30 18:01:42.932000,2018-04-15 02:46:02.658000,houset8851341,Apartamento,,4,,,160
houset599230b08a46554edf88466550,http://www.housetrip.es/buscar-alojamientos/a/1-8851337,1.81254,41.2357,2017-11-30 18:01:42.932000,2018-04-15 02:46:13.391000,houset8851337,Apartamento,,4,,,110
houset599230b08a46554edf88466551,http://www.housetrip.es/buscar-alojamientos/a/1-9240044,1.81304,41.23591,2018-03-31 18:06:21.314000,2018-04-15 02:20:24.278000,houset9240044,Casa,,6,1,,90
houset599230b08a46554edf88466552,http://www.housetrip.es/buscar-alojamientos/a/1-9240041,1.81304,41.23591,2018-03-31 18:06:21.314000,2018-04-15 00:01:23.175000,houset9240041,Casa,,6,1,,90
houset599230b08a46554edf88466553,http://www.housetrip.es/buscar-alojamientos/a/1-9240042,1.81304,41.23591,2018-03-31 18:06:21.314000,2018-04-14 23:45:00.368000,houset9240042,Casa,,4,,,75
houset599230b08a46554edf88466554,http://www.housetrip.es/buscar-alojamientos/a/1-9240047,1.81304,41.23591,2018-03-31 18:06:21.314000,2018-04-15 02:20:37.518000,houset9240047,Casa,,5,,,80
houset599230b08a46554edf88466555,http://www.housetrip.es/buscar-alojamientos/a/1-9240045,1.81304,41.23591,2018-03-31 18:06:21.314000,2018-04-15 02:20:46.169000,houset9240045,Casa,,6,,,85
houset599230b08a46554edf88466556,http://www.housetrip.es/buscar-alojamientos/a/1-6623620,1.81304,41.23592,2017-11-30 18:01:42.932000,2017-12-07 00:54:18.205000,houset6623620,Apartamento,,5,,,80
houset599230b08a46554edf88466557,http://www.housetrip.es/buscar-alojamientos/a/1-6623705,1.81304,41.23592,2017-11-30 18:01:42.932000,2017-12-07 00:54:28.821000,houset6623705,Apartamento,,6,,,80
houset599230b08a46554edf88466558,http://www.housetrip.es/buscar-alojamientos/a/1-6623760,1.81304,41.23592,2017-11-30 18:01:42.932000,2017-12-07 00:54:21.332000,houset6623760,Apartamento,,6,1,,83
houset599230b08a46554edf88466559,http://www.housetrip.es/buscar-alojamientos/a/1-6623856,1.81304,41.23592,2017-11-30 18:01:42.932000,2017-12-07 00:54:31.715000,houset6623856,Apartamento,,4,,,95
houset599230b08a46554edf88466560,http://www.housetrip.es/buscar-alojamientos/a/1-7039440,1.81304,41.23592,2017-11-30 18:01:42.932000,2017-12-07 00:54:25.377000,houset7039440,Apartamento,,6,1,,85
houset599230b08a46554edf88466561,http://www.housetrip.es/buscar-alojamientos/a/1-9240043,1.81314,41.23597,2018-03-31 18:06:21.314000,2018-04-15 00:15:59.805000,houset9240043,Casa,,6,1,,99
houset599230b08a46554edf88466562,http://www.housetrip.es/buscar-alojamientos/a/1-8102350,1.81313,41.23624,2017-11-30 18:01:42.931000,2018-04-15 02:44:19.978000,houset8102350,Apartamento,,4,,3,67
houset599230b08a46554edf88466563,http://www.housetrip.es/buscar-alojamientos/a/1-8102407,1.81306,41.23634,2017-11-30 18:01:42.931000,2018-04-15 02:44:52.445000,houset8102407,Apartamento,,4,,3,67
houset599230b08a46554edf88466564,http://www.housetrip.es/buscar-alojamientos/a/1-8102383,1.81304,41.23629,2017-11-30 18:01:42.932000,2018-04-15 00:46:33.816000,houset8102383,Apartamento,,4,,3,67
houset599230b08a46554edf88466565,http://www.housetrip.es/buscar-alojamientos/a/1-8044296,1.81308,41.23631,2017-11-30 18:01:42.931000,2018-04-15 02:45:45.469000,houset8044296,Apartamento,,4,1,3,67
houset599230b08a46554edf88466566,http://www.housetrip.es/buscar-alojamientos/a/1-6586255,1.81238,41.23674,2017-11-30 18:01:42.931000,2017-12-07 00:45:29.360000,houset6586255,Apartamento,,3,,,80
houset599230b08a46554edf88466567,http://www.housetrip.es/buscar-alojamientos/a/1-7326413,1.81275,41.23709,2017-11-30 18:01:42.931000,2018-04-15 02:43:04.501000,houset7326413,Apartamento,,4,,,65
houset599230b08a46554edf88466568,http://www.housetrip.es/buscar-alojamientos/a/1-8551539,1.81263,41.2371,2017-11-30 18:01:42.932000,2018-04-15 02:20:30.807000,houset8551539,Apartamento,,3,,3,70
houset599230b08a46554edf88466569,http://www.housetrip.es/buscar-alojamientos/a/1-6694727,1.81459,41.23716,2017-11-30 18:01:42.931000,2018-04-15 02:45:25.268000,houset6694727,Apartamento,,4,,,140
houset599230b08a46554edf88466571,http://www.housetrip.es/buscar-alojamientos/a/1-7326470,1.8164,41.23985,2017-11-30 18:01:42.932000,2018-04-15 02:42:32.371000,houset7326470,Apartamento,,6,1,,85
houset599230b08a46554edf88466572,http://www.housetrip.es/buscar-alojamientos/a/1-7326503,1.81631,41.23912,2017-11-30 18:01:42.931000,2018-04-15 02:43:11.014000,houset7326503,Apartamento,,4,,,65
houset599230b08a46554edf88466573,http://www.housetrip.es/buscar-alojamientos/a/1-9084421,1.81531,41.2378,2017-11-30 18:01:42.932000,2018-04-15 02:46:23.907000,houset9084421,Apartamento,,2,,,75
houset599230b08a46554edf88466574,http://www.housetrip.es/buscar-alojamientos/a/1-7326395,1.81552,41.23743,2017-11-30 18:01:42.931000,2018-04-15 02:42:40.994000,houset7326395,Apartamento,,4,2,,85
houset599230b08a46554edf88466575,http://www.housetrip.es/buscar-alojamientos/a/1-9382647,1.81483,41.23705,2018-03-31 18:06:21.313000,2018-04-15 02:45:31.637000,houset9382647,Apartamento,,8,,,90
houset599230b08a46554edf88466576,http://www.housetrip.es/buscar-alojamientos/a/1-9257321,1.81551,41.23693,2018-03-31 18:06:21.313000,2018-04-15 02:46:11.287000,houset9257321,Apartamento,,6,,7,190
houset599230b08a46554edf88466577,http://www.housetrip.es/buscar-alojamientos/a/1-8867030,1.81575,41.23677,2017-11-30 18:01:42.932000,2018-04-15 02:46:49.721000,houset8867030,Apartamento,,4,,4,70
houset599230b08a46554edf88466578,http://www.housetrip.es/buscar-alojamientos/a/1-6612045,1.81577,41.23661,2017-11-30 18:01:42.932000,2018-04-15 02:45:36.118000,houset6612045,Apartamento,,4,1,,120
houset599230b08a46554edf88466579,http://www.housetrip.es/buscar-alojamientos/a/1-6864899,1.81638,41.23697,2018-03-31 18:06:21.313000,2018-04-15 02:46:04.784000,houset6864899,Apartamento,,2,,,85
houset599230b08a46554edf88466580,http://www.housetrip.es/buscar-alojamientos/a/1-7326494,1.81652,41.23753,2017-11-30 18:01:42.931000,2018-04-15 02:42:04.023000,houset7326494,Apartamento,,6,,,65
houset599230b08a46554edf88466581,http://www.housetrip.es/buscar-alojamientos/a/1-8582622,1.81652,41.23753,2017-11-30 18:01:42.931000,2018-04-15 02:43:06.733000,houset8582622,Apartamento,,6,1,,65
houset599230b08a46554edf88466582,http://www.housetrip.es/buscar-alojamientos/a/1-8592298,1.81652,41.23753,2017-11-30 18:01:42.931000,2018-04-15 02:43:00.244000,houset8592298,Apartamento,,4,,,75
houset599230b08a46554edf88466583,http://www.housetrip.es/buscar-alojamientos/a/1-7041385,1.81671,41.23708,2017-11-30 18:01:42.931000,2017-12-07 00:48:00.377000,houset7041385,Casa,,2,,3,60
houset599230b08a46554edf88466584,http://www.housetrip.es/buscar-alojamientos/a/1-6864889,1.81994,41.23654,2018-03-31 18:06:21.313000,2018-04-15 02:44:35.025000,houset6864889,Apartamento,,4,,,120
houset599230b08a46554edf88466585,http://www.housetrip.es/buscar-alojamientos/a/1-6703593,1.82,41.23655,2017-11-30 18:01:42.931000,2018-04-15 00:16:40.192000,houset6703593,Apartamento,,4,2,,75
houset599230b08a46554edf88466586,http://www.housetrip.es/buscar-alojamientos/a/1-6864877,1.82032,41.23709,2018-03-31 18:06:21.313000,2018-04-15 02:44:39.338000,houset6864877,Apartamento,,7,,,150
houset599230b08a46554edf88466587,http://www.housetrip.es/buscar-alojamientos/a/1-6709673,1.82028,41.23649,2017-11-30 18:01:42.931000,2018-04-15 02:44:01.930000,houset6709673,Apartamento,,4,,,75
houset599230b08a46554edf88466588,http://www.housetrip.es/buscar-alojamientos/a/1-7411180,1.82167,41.23727,2017-11-30 18:01:42.932000,2017-12-07 00:50:30.747000,houset7411180,Apartamento,,4,,,68
houset599230b08a46554edf88466589,http://www.housetrip.es/buscar-alojamientos/a/1-8615687,1.82206,41.23737,2017-11-30 18:01:42.932000,2018-04-15 02:20:28.616000,houset8615687,Apartamento,,4,,,78
houset599230b08a46554edf88466590,http://www.housetrip.es/buscar-alojamientos/a/1-4627911,1.82161,41.23739,2017-11-30 18:01:42.932000,2018-04-15 02:21:33.251000,houset4627911,Apartamento,,4,,,78
houset599230b08a46554edf88466591,http://www.housetrip.es/buscar-alojamientos/a/1-297033,1.82115,41.23731,2017-11-30 18:01:42.931000,2018-04-15 02:20:02.380000,houset297033,Apartamento,,5,1,,97
houset599230b08a46554edf88466592,http://www.housetrip.es/buscar-alojamientos/a/1-5334970,1.82004,41.23768,2018-03-31 18:06:21.313000,2018-04-15 02:45:18.830000,houset5334970,Villa,,14,,,450
houset599230b08a46554edf88466593,http://www.housetrip.es/buscar-alojamientos/a/1-7326479,1.81803,41.2399,2017-11-30 18:01:42.931000,2018-04-15 02:43:26.819000,houset7326479,Apartamento,,6,,,200
houset599230b08a46554edf88466594,http://www.housetrip.es/buscar-alojamientos/a/1-7326399,1.81795,41.2398,2017-11-30 18:01:42.932000,2018-04-15 02:43:21.700000,houset7326399,Apartamento,,6,,,70
houset599230b08a46554edf88466596,http://www.housetrip.es/buscar-alojamientos/a/1-7103942,1.81764,41.23906,2018-03-31 18:06:21.314000,2018-04-15 02:46:58.474000,houset7103942,Apartamento,,5,,,105
houset599230b08a46554edf88466597,http://www.housetrip.es/buscar-alojamientos/a/1-1375754,1.81154,41.24302,2017-11-30 18:01:47.325000,2017-12-07 00:56:51.635000,houset1375754,Apartamento,,7,2,,185
houset599230b08a46554edf88466598,http://www.housetrip.es/buscar-alojamientos/a/1-4488678,1.81123,41.24213,2017-11-30 18:01:47.325000,2017-12-07 00:55:21.353000,houset4488678,Apartamento,,4,12,,90
houset599230b08a46554edf88466599,http://www.housetrip.es/buscar-alojamientos/a/1-7326365,1.80471,41.23865,2017-11-30 18:01:42.932000,2018-04-15 02:42:36.781000,houset7326365,Apartamento,,9,1,,140
houset599230b08a46554edf884665100,http://www.housetrip.es/buscar-alojamientos/a/1-6864895,1.80391,41.23811,2018-03-31 18:06:21.313000,2018-04-15 02:44:28.665000,houset6864895,Apartamento,,6,,,86
houset599230b08a46554edf884665101,http://www.housetrip.es/buscar-alojamientos/a/1-7444136,1.80391,41.23811,2018-03-31 18:06:21.313000,2018-04-15 02:46:17.583000,houset7444136,Apartamento,,6,,,95
houset599230b08a46554edf884665102,http://www.housetrip.es/buscar-alojamientos/a/1-552160,1.80378,41.23739,2017-11-30 18:01:42.931000,2018-04-15 02:44:24.405000,houset552160,Apartamento,,6,3,3,66
houset599230b08a46554edf884665103,http://www.housetrip.es/buscar-alojamientos/a/1-9381056,1.8036,41.23729,2018-03-31 18:06:21.313000,2018-04-15 02:43:44.431000,houset9381056,Apartamento,,4,,,72
houset599230b08a46554edf884665104,http://www.housetrip.es/buscar-alojamientos/a/1-9381057,1.80345,41.23724,2018-03-31 18:06:21.313000,2018-04-15 02:45:52.161000,houset9381057,Apartamento,,2,,,127
houset599230b08a46554edf884665105,http://www.housetrip.es/buscar-alojamientos/a/1-7326501,1.80344,41.23725,2017-11-30 18:01:42.931000,2018-04-15 02:43:15.323000,houset7326501,Apartamento,,4,,,85
houset599230b08a46554edf884665106,http://www.housetrip.es/buscar-alojamientos/a/1-9274742,1.80344,41.23725,2018-03-31 18:06:21.314000,2018-04-14 23:45:02.525000,houset9274742,Apartamento,,4,,,261
houset599230b08a46554edf884665107,http://www.housetrip.es/buscar-alojamientos/a/1-9273299,1.80344,41.23725,2018-03-31 18:06:21.314000,2018-04-15 02:20:59.551000,houset9273299,Apartamento,,4,,,227
houset599230b08a46554edf884665108,http://www.housetrip.es/buscar-alojamientos/a/1-9150746,1.80589,41.23719,2018-03-31 18:06:21.314000,2018-04-15 00:16:04.391000,houset9150746,Villa,,20,,,1911
houset599230b08a46554edf884665109,http://www.housetrip.es/buscar-alojamientos/a/1-9150791,1.80589,41.23719,2018-03-31 18:06:21.314000,2018-04-15 02:21:51.876000,houset9150791,Villa,,16,,,1441
houset599230b08a46554edf884665110,http://www.housetrip.es/buscar-alojamientos/a/1-9150769,1.80589,41.23719,2018-03-31 18:06:21.314000,2018-04-15 02:21:01.717000,houset9150769,Villa,,20,,,2092
houset599230b08a46554edf884665111,http://www.housetrip.es/buscar-alojamientos/a/1-7326369,1.80571,41.2373,2017-11-30 18:01:42.931000,2018-04-15 02:41:38.041000,houset7326369,Apartamento,,6,1,,90
houset599230b08a46554edf884665112,http://www.housetrip.es/buscar-alojamientos/a/1-8577814,1.80538,41.23845,2017-11-30 18:01:42.931000,2017-12-07 00:42:41.380000,houset8577814,Apartamento,,3,,,80
houset599230b08a46554edf884665113,http://www.housetrip.es/buscar-alojamientos/a/1-8599972,1.80583,41.23852,2017-11-30 18:01:42.932000,2018-04-15 02:46:28.164000,houset8599972,Apartamento,,6,,7,170
houset599230b08a46554edf884665114,http://www.housetrip.es/buscar-alojamientos/a/1-542227,1.80699,41.23804,2017-11-30 18:01:42.931000,2018-04-15 02:45:05.372000,houset542227,Apartamento,,4,10,,66
houset599230b08a46554edf884665115,http://www.housetrip.es/buscar-alojamientos/a/1-7336445,1.80725,41.23817,2018-03-31 18:06:21.314000,2018-04-15 02:46:21.804000,houset7336445,Apartamento,,6,,,100
houset599230b08a46554edf884665116,http://www.housetrip.es/buscar-alojamientos/a/1-258455,1.80702,41.23753,2017-11-30 18:01:42.931000,2018-04-15 02:45:33.788000,houset258455,Apartamento,,6,11,,70
houset599230b08a46554edf884665117,http://www.housetrip.es/buscar-alojamientos/a/1-258456,1.80704,41.23743,2017-11-30 18:01:42.932000,2018-04-15 02:44:50.269000,houset258456,Apartamento,,6,,,75
houset599230b08a46554edf884665118,http://www.housetrip.es/buscar-alojamientos/a/1-7371416,1.80696,41.23759,2017-11-30 18:01:42.931000,2018-04-15 02:44:48.111000,houset7371416,Apartamento,,3,6,,75
houset599230b08a46554edf884665119,http://www.housetrip.es/buscar-alojamientos/a/1-551878,1.80697,41.2378,2017-11-30 18:01:42.931000,2018-04-15 02:43:55.221000,houset551878,Apartamento,,4,29,,80
houset599230b08a46554edf884665120,http://www.housetrip.es/buscar-alojamientos/a/1-8610799,1.80648,41.2376,2017-11-30 18:01:42.932000,2018-04-15 02:20:26.472000,houset8610799,Casa,,6,,,140
houset599230b08a46554edf884665121,http://www.housetrip.es/buscar-alojamientos/a/1-8627532,1.8065,41.23755,2017-11-30 18:01:42.932000,2018-04-15 02:20:57.444000,houset8627532,Apartamento,,6,,,140
houset599230b08a46554edf884665122,http://www.housetrip.es/buscar-alojamientos/a/1-8670440,1.80649,41.23753,2017-11-30 18:01:42.931000,2017-12-07 00:48:26.998000,houset8670440,Apartamento,,6,,,140
houset599230b08a46554edf884665123,http://www.housetrip.es/buscar-alojamientos/a/1-8627561,1.80649,41.23747,2017-11-30 18:01:42.932000,2018-04-15 02:21:04.044000,houset8627561,Apartamento,,6,,,140
houset599230b08a46554edf884665124,http://www.housetrip.es/buscar-alojamientos/a/1-8330306,1.80663,41.23727,2018-03-31 18:06:21.314000,2018-04-15 02:20:50.824000,houset8330306,Apartamento,,3,,,108
houset599230b08a46554edf884665125,http://www.housetrip.es/buscar-alojamientos/a/1-8791119,1.80646,41.23713,2018-03-31 18:06:21.314000,2018-04-15 02:20:13.222000,houset8791119,Apartamento,,6,,,103
houset599230b08a46554edf884665126,http://www.housetrip.es/buscar-alojamientos/a/1-7326522,1.80765,41.23741,2017-11-30 18:01:42.931000,2018-04-15 00:02:04.519000,houset7326522,Apartamento,,4,1,,65
houset599230b08a46554edf884665127,http://www.housetrip.es/buscar-alojamientos/a/1-7326473,1.80766,41.23738,2017-11-30 18:01:42.932000,2018-04-15 02:43:19.600000,houset7326473,Apartamento,,4,1,,65
houset599230b08a46554edf884665128,http://www.housetrip.es/buscar-alojamientos/a/1-8657833,1.80766,41.23738,2018-03-31 18:06:21.314000,2018-04-15 02:46:36.721000,houset8657833,Apartamento,,4,,,111
houset599230b08a46554edf884665129,http://www.housetrip.es/buscar-alojamientos/a/1-7326461,1.80781,41.23753,2017-11-30 18:01:42.931000,2017-12-07 00:41:52.748000,houset7326461,Casa,,8,,,130
houset599230b08a46554edf884665130,http://www.housetrip.es/buscar-alojamientos/a/1-7326446,1.80944,41.23719,2017-11-30 18:01:42.931000,2018-04-15 02:43:08.963000,houset7326446,Apartamento,,4,,,95
houset599230b08a46554edf884665131,http://www.housetrip.es/buscar-alojamientos/a/1-6864883,1.80899,41.23758,2018-03-31 18:06:21.313000,2018-04-15 02:44:45.859000,houset6864883,Apartamento,,6,1,,100
houset599230b08a46554edf884665132,http://www.housetrip.es/buscar-alojamientos/a/1-9083734,1.80916,41.2381,2017-11-30 18:01:42.931000,2017-12-07 00:48:46.138000,houset9083734,Apartamento,,5,,,80
houset599230b08a46554edf884665133,http://www.housetrip.es/buscar-alojamientos/a/1-8751888,1.8093,41.23795,2017-11-30 18:01:42.932000,2018-04-15 02:44:41.518000,houset8751888,Apartamento,,3,,,75
houset599230b08a46554edf884665134,http://www.housetrip.es/buscar-alojamientos/a/1-8871160,1.80793,41.23794,2018-03-31 18:06:21.313000,2018-04-14 23:46:03.701000,houset8871160,Apartamento,,6,,,130
houset599230b08a46554edf884665135,http://www.housetrip.es/buscar-alojamientos/a/1-1477292,1.80773,41.23806,2017-11-30 18:01:42.932000,2018-04-15 02:44:17.861000,houset1477292,Apartamento,,8,3,,130
houset599230b08a46554edf884665136,http://www.housetrip.es/buscar-alojamientos/a/1-7326487,1.80774,41.23799,2017-11-30 18:01:42.932000,2018-04-15 02:41:49.422000,houset7326487,Apartamento,,8,,,140
